Tweet,Borough,Hate Prediction,Tweet Date,Latitude,Longitude
guys should more often Nobs,Barnet,sexism,2022-12-16 12:36:59+00:00,51.65309,-0.2002261
told going smash face while travelling with daughter terrifying Guards trains like full lady carriages,Camberwell,sexism,2022-12-16 12:27:04+00:00,51.4745706,-0.0925416
Twat INSIGNIFICANT MINORITY,Kingston upon Thames,sexism,2022-12-16 12:01:28+00:00,51.4096275,-0.3062621
Thunder FIFTEEN Imagine what people would this were women game,Lambeth,sexism,2022-12-16 11:51:30+00:00,51.4952111,-0.1163354
wasn pedophile just idiot,Barnet,sexual_orientation,2022-12-16 11:35:39+00:00,51.65309,-0.2002261
Nasty bitch,London,sexism,2022-12-16 11:21:29+00:00,51.5073359,-0.12765
adorable commenting film said haven seen really dumb,Wandsworth,disability,2022-12-16 10:14:46+00:00,51.4570271,-0.1932607
rambling midget moron,Hammersmith,disability,2022-12-16 09:01:59+00:00,51.4920377,-0.2236401
however very silly small minded,Hammersmith,disability,2022-12-16 08:54:52+00:00,51.4920377,-0.2236401
This page solely intent rinsing faggots waste time straight BLOCKED,Paddington,sexual_orientation,2022-12-16 03:01:05+00:00,51.5154795,-0.175365
thing that always annoyed women push social places clubs events Lool they they just expect move they with much attitude with their self,Enfield,sexism,2022-12-16 00:24:38+00:00,51.6520851,-0.0810175
girls defo trampled floor getting passed Another corner near entrance mash,Lambeth,sexism,2022-12-15 23:43:44+00:00,51.4952111,-0.1163354
Hope okay sidewalks make doofus extremely clumsy human believe made home without taking tumble,Poplar,disability,2022-12-15 23:21:24+00:00,51.5110713,-0.0144629
just clown,Poplar,disability,2022-12-15 23:21:19+00:00,51.5110713,-0.0144629
want tweets quick thumb only slight stupid,Croydon,disability,2022-12-15 22:48:31+00:00,51.3713049,-0.101957
said where country nitwit,Merton,disability,2022-12-15 22:29:53+00:00,51.41086985,-0.18809708858824303
know whether larf,Bromley,sexism,2022-12-15 21:50:15+00:00,51.4028046,0.0148142
would prefer DILF Dungeon,Islington,sexism,2022-12-15 21:25:38+00:00,51.5384287,-0.0999051
Never going with women again would never experience scenes have witnessed with blokes ever,Croydon,sexism,2022-12-15 21:20:52+00:00,51.3713049,-0.101957
hell buying tickets this creepy cunt,Paddington,sexism,2022-12-15 20:40:09+00:00,51.5154795,-0.175365
Yeah idiot,Hillingdon,disability,2022-12-15 20:38:45+00:00,51.542519299999995,-0.44833493117949663
paying animated picture stupid please,Islington,disability,2022-12-15 20:10:12+00:00,51.5384287,-0.0999051
Unfortunately chimps gorillas especially males extremely violent xenophobic about other groups apes will even rape beat females from other groups They will also kill baby apes left unattended Apes generally very nice creatures,Wandsworth,racism,2022-12-15 19:40:12+00:00,51.4570271,-0.1932607
When your wife wins birthday cards,Camberwell,sexism,2022-12-15 17:28:54+00:00,51.4745706,-0.0925416
such poorly dressed twat,Hackney,sexism,2022-12-15 17:28:30+00:00,51.5432402,-0.0493621
Women will never understand that okay loooool,Camberwell,sexism,2022-12-15 17:21:05+00:00,51.4745706,-0.0925416
bitch cunt,Croydon,sexism,2022-12-15 14:50:07+00:00,51.3713049,-0.101957
What definition woman using calculate this,London,sexism,2022-12-15 14:38:19+00:00,51.5073359,-0.12765
girls hilarious Have attended Clown school,Wandsworth,sexism,2022-12-15 14:37:17+00:00,51.4570271,-0.1932607
Unlock Backseat Femmebot,Paddington,sexism,2022-12-15 14:27:51+00:00,51.5154795,-0.175365
Massive bellend,Camden Town,sexism,2022-12-15 13:33:35+00:00,51.5423045,-0.1395604
they cause cancers being anal they cause range horrific cancers Which advocacy more toxic drivist pollution killing London asthmatic kids extremist dead corpses piling evil high,Camberwell,religion,2022-12-15 12:19:21+00:00,51.4745706,-0.0925416
then would have worry about these privileged twats,Lewisham,sexism,2022-12-15 12:13:05+00:00,51.4624292,-0.0101787
Same breed obviously lady younger,Barnet,sexism,2022-12-15 12:00:23+00:00,51.65309,-0.2002261
Funny jobs dominated women that seen vocations teachers carers literally code less,Camberwell,sexism,2022-12-15 11:53:06+00:00,51.4745706,-0.0925416
fuck enough foreign objects trying kill From viruses bacteria Russia asteroids bring back dinosaurs,Croydon,racism,2022-12-15 10:59:04+00:00,51.3713049,-0.101957
illegal they arms suffering consequences getting bombed bunch Jihadi turds that exist Middle East making illegal because their religion against,Paddington,religion,2022-12-15 10:23:01+00:00,51.5154795,-0.175365
wrong astounded myself grateful upbringing However most today grown ought know better have they female relatives they treat them with same contempt,Camden Town,sexism,2022-12-15 09:44:37+00:00,51.5423045,-0.1395604
Woman speaks panels living without ever really saying anything,Ealing,sexism,2022-12-15 09:02:41+00:00,51.5126553,-0.3051952
Folks with vulvas Women mean,Wandsworth,sexism,2022-12-15 08:30:13+00:00,51.4570271,-0.1932607
lady laid street fallen deserves nothing obviously twat,Brent,sexism,2022-12-15 06:46:57+00:00,51.5639957,-0.27590641378489267
going start making bitches sign NDAs,Islington,sexism,2022-12-15 06:24:17+00:00,51.5384287,-0.0999051
spunk chair least years worth spunk goon cunt,Poplar,sexism,2022-12-15 03:20:27+00:00,51.5110713,-0.0144629
think Blind just really good footballer like Super intelligent,Lambeth,disability,2022-12-15 02:39:26+00:00,51.4952111,-0.1163354
looks dumb love,Kingston upon Thames,disability,2022-12-15 02:02:05+00:00,51.4096275,-0.3062621
much slower kill monkeys,Camden Town,racism,2022-12-15 01:10:38+00:00,51.5423045,-0.1395604
should struck quack,Greenwich,disability,2022-12-15 00:38:15+00:00,51.4820845,-0.0045417
Well least leave them table kitchen pantry tease weak sweet toothed types like myself,Ealing,sexism,2022-12-15 00:14:57+00:00,51.5126553,-0.3051952
missing dumb fuck,Greenwich,sexism,2022-12-14 23:00:29+00:00,51.4820845,-0.0045417
Women afford private jets apparently,Camden Town,sexism,2022-12-14 20:36:25+00:00,51.5423045,-0.1395604
such pansy,Romford,sexism,2022-12-14 20:30:59+00:00,51.5760462,0.1822646
Women trash,Brent,sexism,2022-12-14 20:30:53+00:00,51.5639957,-0.27590641378489267
Dude obviously women,Camden Town,sexism,2022-12-14 20:21:47+00:00,51.5423045,-0.1395604
Christ really prick aren thought about giving benefit doubt nailed carat fucking wand,Islington,sexism,2022-12-14 19:38:56+00:00,51.5384287,-0.0999051
Damn this girl boring,Barking,sexism,2022-12-14 19:38:51+00:00,51.5389922,0.0804245
Well wasn male scientist honest lads News Australia Scientists find clitorises female snakes,Merton,sexism,2022-12-14 19:19:04+00:00,51.41086985,-0.18809708858824303
retards fighting,Romford,disability,2022-12-14 18:20:27+00:00,51.5760462,0.1822646
Some videos just through guessing woman even look they sure hell aren going have with,Wandsworth,sexism,2022-12-14 18:05:23+00:00,51.4570271,-0.1932607
talking about will NEVER have ability talk paper IDIOT,Kingston upon Thames,disability,2022-12-14 16:47:33+00:00,51.4096275,-0.3062621
There more people called Dave CEOs FTSE companies than women that sink,Croydon,sexism,2022-12-14 16:42:53+00:00,51.3713049,-0.101957
They will score them they confused continent they they claim Arabs make,Camberwell,religion,2022-12-14 16:05:48+00:00,51.4745706,-0.0925416
Lives Matter anagram cunt,Hillingdon,sexism,2022-12-14 15:06:26+00:00,51.542519299999995,-0.44833493117949663
strange stupid,Islington,disability,2022-12-14 15:06:04+00:00,51.5384287,-0.0999051
just computer program have ability feel emotions like human here help with questions might have want thank just know able assist glad could help,Sutton,disability,2022-12-14 14:40:40+00:00,51.357464449999995,-0.17362689496950337
people really hate women some strange reason need deep therapy hurt,Barnet,sexism,2022-12-14 14:33:14+00:00,51.65309,-0.2002261
Twat,Enfield,sexism,2022-12-14 12:59:09+00:00,51.6520851,-0.0810175
Pigs will hope hell,London,sexism,2022-12-14 12:41:45+00:00,51.5073359,-0.12765
send this racist gorilla Rwanda,Bromley,racism,2022-12-14 12:29:26+00:00,51.4028046,0.0148142
Priceless twats,London,sexism,2022-12-14 11:53:54+00:00,51.5073359,-0.12765
fabric twat tweeter problem with word,Hounslow,sexism,2022-12-14 11:29:48+00:00,51.4686132,-0.3613471
Satan cohorts care life because they dead their sins dead people dictate Saints Send them BACK hell hades sheol abyss regions NAME Revelation,Barking,religion,2022-12-14 09:29:04+00:00,51.5389922,0.0804245
fucking mong,Romford,disability,2022-12-14 01:11:40+00:00,51.5760462,0.1822646
male bands where about taking another guys girl brutal were nice,London,sexism,2022-12-14 00:47:54+00:00,51.5073359,-0.12765
Average woman driver,Wandsworth,sexism,2022-12-13 23:46:23+00:00,51.4570271,-0.1932607
Shows faced really little twerp,Lewisham,sexism,2022-12-13 23:26:03+00:00,51.4624292,-0.0101787
What twat,Camberwell,sexism,2022-12-13 22:31:21+00:00,51.4745706,-0.0925416
such predictable twat,Bromley,sexism,2022-12-13 22:15:05+00:00,51.4028046,0.0148142
fella must forget tweets still,Camberwell,sexism,2022-12-13 21:42:38+00:00,51.4745706,-0.0925416
Fuck twat,Camberwell,sexism,2022-12-13 21:03:17+00:00,51.4745706,-0.0925416
came across twat like most certain would hazard guess since left popular media Probably bitter because,Bromley,sexism,2022-12-13 20:57:39+00:00,51.4028046,0.0148142
used respect David Beckham until accepted blood money from misogynistic homophobic Qatarian authoritarian dictatorship,Wandsworth,religion,2022-12-13 20:51:30+00:00,51.4570271,-0.1932607
Twat ones were train with today,London,sexism,2022-12-13 20:17:24+00:00,51.5073359,-0.12765
FEMME Last shot from this Modelling Bondinage Shot Fran Kinsella,Enfield,sexism,2022-12-13 19:57:29+00:00,51.6520851,-0.0810175
Fuck these coke sniffing croatian cunts Fucking Kurvas,Poplar,racism,2022-12-13 19:53:06+00:00,51.5110713,-0.0144629
Ohhh twat There insult Clearly watch Brazilian league therefore would have idea good week week Bellend,Bromley,sexism,2022-12-13 19:41:45+00:00,51.4028046,0.0148142
depends woman woman requires courting gets Unfortunately looks like majority women require that more That,Hammersmith,sexism,2022-12-13 16:44:44+00:00,51.4920377,-0.2236401
asked bitch,Kensington,sexism,2022-12-13 16:18:24+00:00,51.4989948,-0.1991229
need bussy eaten like that Damn,Paddington,sexism,2022-12-13 16:17:59+00:00,51.5154795,-0.175365
mixture stupidity lack intelligence,London,disability,2022-12-13 15:57:36+00:00,51.5073359,-0.12765
really really games played half hour then frustrated think pick again nice atmosphere think will various moments soppy idiot,Hammersmith,disability,2022-12-13 15:55:04+00:00,51.4920377,-0.2236401
fags horses blew farkin mate,Hillingdon,sexual_orientation,2022-12-13 15:43:14+00:00,51.542519299999995,-0.44833493117949663
Women have penis,Camden Town,sexism,2022-12-13 15:31:08+00:00,51.5423045,-0.1395604
reminded Frank Cardinal Neman debating society never only security ignorant would have been years Total embarrassment,Ealing,disability,2022-12-13 14:14:28+00:00,51.5126553,-0.3051952
Exactly what thought surprised though face pretty clear they just want woman either role,Wandsworth,sexism,2022-12-13 13:27:11+00:00,51.4570271,-0.1932607
where exactly outer space planet Mars Religion just jettison billions Christians into nearest black hole,Kingston upon Thames,religion,2022-12-13 13:26:18+00:00,51.4096275,-0.3062621
Goat thread been giving these women character development,Lambeth,sexism,2022-12-13 12:57:10+00:00,51.4952111,-0.1163354
Send nugga insane,Barnet,racism,2022-12-13 12:54:13+00:00,51.65309,-0.2002261
Andy Fabric learned full retard again,Camberwell,disability,2022-12-13 12:40:57+00:00,51.4745706,-0.0925416
twat,Hackney,sexism,2022-12-13 11:47:48+00:00,51.5432402,-0.0493621
rest world kinda tired with Americans exporting your toxic sludge over world then pretending nothing wrong,Poplar,racism,2022-12-13 11:13:48+00:00,51.5110713,-0.0144629
People power Iran mentally sick when islam invaded Iran 1200 years they rapped women took them slaves They slaughtered people Iranian regime calls their people Enemies,Paddington,religion,2022-12-13 10:05:49+00:00,51.5154795,-0.175365
That funny spell cunt,Bromley,sexism,2022-12-13 09:50:56+00:00,51.4028046,0.0148142
again decide actually moron putting political gain,Camberwell,disability,2022-12-13 08:26:40+00:00,51.4745706,-0.0925416
These girls treat like,Hackney,sexism,2022-12-13 08:08:09+00:00,51.5432402,-0.0493621
main reason women single because they have become they looking,Camberwell,sexism,2022-12-13 07:33:35+00:00,51.4745706,-0.0925416
cares however having covid better vaxx idiot,London,disability,2022-12-13 06:48:46+00:00,51.5073359,-0.12765
clearly mentally challenged,Brent,disability,2022-12-13 01:27:49+00:00,51.5639957,-0.27590641378489267
half braincell gifted,Ealing,disability,2022-12-13 00:30:53+00:00,51.5126553,-0.3051952
Twat,Croydon,sexism,2022-12-13 00:18:37+00:00,51.3713049,-0.101957
woman fault Seriously part problem,Romford,sexism,2022-12-13 00:02:57+00:00,51.5760462,0.1822646
Twat What twat,Croydon,sexism,2022-12-12 21:56:15+00:00,51.3713049,-0.101957
this shit still already blocked this cunt move,Greenwich,sexism,2022-12-12 21:22:38+00:00,51.4820845,-0.0045417
yeah feminine,Wandsworth,sexism,2022-12-12 21:00:13+00:00,51.4570271,-0.1932607
interesting thread Seems idiot becoming even more hated round world couldn happen nicer,Sutton,disability,2022-12-12 19:04:57+00:00,51.357464449999995,-0.17362689496950337
economically illiterate,Lambeth,disability,2022-12-12 16:28:37+00:00,51.4952111,-0.1163354
made just like laughing retarded fanboys,Sutton,disability,2022-12-12 15:44:50+00:00,51.357464449999995,-0.17362689496950337
Well truly fuck cunt,Wandsworth,sexism,2022-12-12 15:00:35+00:00,51.4570271,-0.1932607
everyone involved crypto cunt everyone cunt involved crypto,Hackney,sexism,2022-12-12 13:52:07+00:00,51.5432402,-0.0493621
they ignorant like,Romford,disability,2022-12-12 13:47:19+00:00,51.5760462,0.1822646
considering other cunt will,Romford,sexism,2022-12-12 13:29:01+00:00,51.5760462,0.1822646
think been misled skint lost interest,Paddington,disability,2022-12-12 12:49:59+00:00,51.5154795,-0.175365
twat with,London,sexism,2022-12-12 11:52:38+00:00,51.5073359,-0.12765
what idiot such shame,Lewisham,disability,2022-12-12 11:20:56+00:00,51.4624292,-0.0101787
There living Park Road se26 Nasty arrogant bitch,Lewisham,sexism,2022-12-12 11:10:39+00:00,51.4624292,-0.0101787
lobotomised moron Expunge hatred leave with enough time have life,Bexley,disability,2022-12-12 11:01:05+00:00,51.4416793,0.150488
stupid didn trophies when were taking knee thick fucking idiots,Barnet,disability,2022-12-12 10:26:27+00:00,51.65309,-0.2002261
They because lack self awareness also lack self confidence mantra been what mother hasn done wont take what growing Some ladies just active ways leave,London,sexism,2022-12-12 08:54:21+00:00,51.5073359,-0.12765
cunt what have done,Paddington,sexism,2022-12-12 08:33:24+00:00,51.5154795,-0.175365
woooow they tongue deep cheeks Niggas disgust,Barnet,racism,2022-12-12 04:28:56+00:00,51.65309,-0.2002261
assigned birth morons biology does this conception clear parents WHEN WOMB Stop with this pseudoscientific ideologically driven language,Poplar,sexism,2022-12-12 00:25:06+00:00,51.5110713,-0.0144629
What opinion Rehberi feminist about polygamy,Hackney,sexism,2022-12-11 22:29:05+00:00,51.5432402,-0.0493621
have opinion played stupid pony,Sutton,disability,2022-12-11 21:34:31+00:00,51.357464449999995,-0.17362689496950337
young girl wants home heartless twats maybe realise have Look,Wandsworth,sexism,2022-12-11 20:36:55+00:00,51.4570271,-0.1932607
self important idiot,London,disability,2022-12-11 20:31:15+00:00,51.5073359,-0.12765
drivist extremists hate kids much want kill them with your toxic poisons,Camberwell,religion,2022-12-11 19:26:02+00:00,51.4745706,-0.0925416
When music press someone started interview with calling cunt,Hackney,sexism,2022-12-11 18:45:11+00:00,51.5432402,-0.0493621
Petite year female,London,sexism,2022-12-11 18:41:42+00:00,51.5073359,-0.12765
Still male tennis player with most grand slams EVER,Brent,sexism,2022-12-11 18:34:55+00:00,51.5639957,-0.27590641378489267
super observant half blind,Enfield,disability,2022-12-11 18:25:42+00:00,51.6520851,-0.0810175
Strength rubbish bowling ball just pootled along came last Better than watching footie though Loads groups women there Wonder,Barking,sexism,2022-12-11 16:41:10+00:00,51.5389922,0.0804245
wrongs make right muppet,Merton,disability,2022-12-11 16:04:09+00:00,51.41086985,-0.18809708858824303
just know what kind Nigga fucking,Barking,racism,2022-12-11 15:30:44+00:00,51.5389922,0.0804245
agree with pundits football only Women pundits Ladies football This nonsense started about years women read from autocues,Barnet,sexism,2022-12-11 15:30:02+00:00,51.65309,-0.2002261
well world mong,Hammersmith,disability,2022-12-11 13:51:02+00:00,51.4920377,-0.2236401
said insta that women soccer fine football more exciting than World just fire,Brent,sexism,2022-12-11 13:25:53+00:00,51.5639957,-0.27590641378489267
Twat,Greenwich,sexism,2022-12-11 13:13:38+00:00,51.4820845,-0.0045417
Think whole France collective should just take cyanide world favour Baguette cunt,Sutton,sexism,2022-12-11 13:12:05+00:00,51.357464449999995,-0.17362689496950337
What retard,Bromley,disability,2022-12-11 12:58:40+00:00,51.4028046,0.0148142
Iran Islamic Republic There NOTHING Islam that supports murder young including children Iranian regime criminal enterprise designed keep angry psychopathic extremists power nothing else Iran terrorist State,Ealing,religion,2022-12-11 12:51:09+00:00,51.5126553,-0.3051952
PURSE bitch CAME DRESSED KILL,Islington,sexism,2022-12-11 12:27:00+00:00,51.5384287,-0.0999051
girls skip entire week Louis have therefore fallen behind classes girl,Hammersmith,sexism,2022-12-11 11:50:53+00:00,51.4920377,-0.2236401
course only paedo mixed race,Romford,sexual_orientation,2022-12-11 11:32:08+00:00,51.5760462,0.1822646
Lmao covered with vile religion Life will open your eyes soon,Barking,religion,2022-12-11 11:02:24+00:00,51.5389922,0.0804245
Harry Kane country down fucking retard,Hounslow,disability,2022-12-11 10:29:39+00:00,51.4686132,-0.3613471
talking government little weirdo,Hammersmith,disability,2022-12-11 10:14:38+00:00,51.4920377,-0.2236401
Misogynistic twit,Camden Town,sexism,2022-12-11 10:05:59+00:00,51.5423045,-0.1395604
Worth repeating genes differ between females males,Camden Town,sexism,2022-12-11 10:02:46+00:00,51.5423045,-0.1395604
fucked fucking ghoul,Hackney,religion,2022-12-11 09:30:28+00:00,51.5432402,-0.0493621
repulsive deters girls from being like,Camden Town,sexism,2022-12-11 09:13:04+00:00,51.5423045,-0.1395604
year brilliant loser sorry,Bromley,disability,2022-12-11 07:36:26+00:00,51.4028046,0.0148142
Whos this ESPN woman commentator shes talking nonsense,Camberwell,sexism,2022-12-11 04:00:40+00:00,51.4745706,-0.0925416
dunno guys feel like probably shouldn need pretend boyfriend some girl just just might leave alone,Islington,sexism,2022-12-11 02:03:28+00:00,51.5384287,-0.0999051
dumb stupid which,Greenwich,disability,2022-12-11 01:23:42+00:00,51.4820845,-0.0045417
Probs reason lost cunt,Kingston upon Thames,sexism,2022-12-11 01:12:17+00:00,51.4096275,-0.3062621
Genuinely hope suffer heart attack insufferable cunt,Poplar,sexism,2022-12-11 00:20:04+00:00,51.5110713,-0.0144629
kiss them hoes mouth unless have,Greenwich,sexism,2022-12-10 23:54:00+00:00,51.4820845,-0.0045417
cunt,Hillingdon,sexism,2022-12-10 23:35:52+00:00,51.542519299999995,-0.44833493117949663
such fucking idiot,Islington,disability,2022-12-10 23:30:01+00:00,51.5384287,-0.0999051
Imagine that female goalkeeper game women football would getting slaughtered,Lambeth,sexism,2022-12-10 23:20:25+00:00,51.4952111,-0.1163354
sorry hear must wrung twit last thing need stress about Look after Sending love,Hillingdon,sexism,2022-12-10 23:12:01+00:00,51.542519299999995,-0.44833493117949663
shut cunt,Sutton,sexism,2022-12-10 22:54:25+00:00,51.357464449999995,-0.17362689496950337
like group heteros seria mucho morbo,Lambeth,sexual_orientation,2022-12-10 22:52:52+00:00,51.4952111,-0.1163354
wasn quoting again just educational purposes course idiot idiot welcome,Brent,disability,2022-12-10 22:33:46+00:00,51.5639957,-0.27590641378489267
cunt,Hillingdon,sexism,2022-12-10 22:32:54+00:00,51.542519299999995,-0.44833493117949663
half watching that fucking cunt,Poplar,sexism,2022-12-10 21:42:19+00:00,51.5110713,-0.0144629
Both excuse target refs just cunt,Lambeth,sexism,2022-12-10 21:29:08+00:00,51.4952111,-0.1163354
leave disbelievers earth indeed leave them they will misguide Your servants beget none wicked relentless deniers Imam Mahdi Nasser Mohammed Yamani 2022 Imam Mahdi Nasser Mohammed Yamani,Hounslow,religion,2022-12-10 21:20:34+00:00,51.4686132,-0.3613471
retarded,Romford,disability,2022-12-10 21:16:57+00:00,51.5760462,0.1822646
prat around corner should chuck brick,Kingston upon Thames,sexism,2022-12-10 21:16:27+00:00,51.4096275,-0.3062621
Hope this cunt tears ruins career,Richmond,sexism,2022-12-10 21:09:50+00:00,51.4613531,-0.3032767
know nothing moron,Bromley,disability,2022-12-10 21:09:24+00:00,51.4028046,0.0148142
WHAT FUCK still absolute cunt,Poplar,sexism,2022-12-10 21:07:50+00:00,51.5110713,-0.0144629
lady doth protest,Islington,sexism,2022-12-10 21:06:03+00:00,51.5384287,-0.0999051
Twat,Hillingdon,sexism,2022-12-10 20:47:37+00:00,51.542519299999995,-0.44833493117949663
Cunt needs shooting,Sutton,sexism,2022-12-10 20:46:57+00:00,51.357464449999995,-0.17362689496950337
literally watch think been paid French biased,Kensington,disability,2022-12-10 20:40:29+00:00,51.4989948,-0.1991229
These cheating cunts,Paddington,sexism,2022-12-10 20:40:11+00:00,51.5154795,-0.175365
mean Henry Cavill gamer technically,Kensington,disability,2022-12-10 20:31:10+00:00,51.4989948,-0.1991229
Mane sama dama retard anglais meunougn nopi they gonna spoil whole game,Brent,disability,2022-12-10 20:18:46+00:00,51.5639957,-0.27590641378489267
given better score cunt give another free kick,Barnet,sexism,2022-12-10 20:12:41+00:00,51.65309,-0.2002261
Fuck this Cunt,Richmond,sexism,2022-12-10 19:53:15+00:00,51.4613531,-0.3032767
refs clearly Frenchman,London,disability,2022-12-10 19:51:17+00:00,51.5073359,-0.12765
absolute cunt given anything night,Hackney,sexism,2022-12-10 19:50:56+00:00,51.5432402,-0.0493621
cunt,Poplar,sexism,2022-12-10 19:32:09+00:00,51.5110713,-0.0144629
These French dirty bastards,Richmond,racism,2022-12-10 19:19:12+00:00,51.4613531,-0.3032767
these cunts dont back back,Romford,sexism,2022-12-10 19:18:28+00:00,51.5760462,0.1822646
Fucking come boys beat these French bastards coming home,Croydon,racism,2022-12-10 18:54:33+00:00,51.3713049,-0.101957
Come walks smash that cunt,London,sexism,2022-12-10 18:29:37+00:00,51.5073359,-0.12765
Thanks finish these bean eaters,London,racism,2022-12-10 18:29:10+00:00,51.5073359,-0.12765
leave clueless,Camden Town,disability,2022-12-10 18:04:56+00:00,51.5423045,-0.1395604
This says just used word retard irony,Camberwell,disability,2022-12-10 17:56:22+00:00,51.4745706,-0.0925416
what need mention colour shit brains,Romford,disability,2022-12-10 17:27:31+00:00,51.5760462,0.1822646
quiet Leave woman alone,Bexley,sexism,2022-12-10 17:22:02+00:00,51.4416793,0.150488
male dinosaur pundits interrupting females Typical,London,sexism,2022-12-10 17:16:34+00:00,51.5073359,-0.12765
Always frustrating with that northern prick,Camberwell,racism,2022-12-10 17:09:51+00:00,51.4745706,-0.0925416
Sadly Hanif only criminal imposed illegitimate Noon league packed with uneducated shit brain Gullu Butts,Hillingdon,religion,2022-12-10 17:00:41+00:00,51.542519299999995,-0.44833493117949663
Scums These aren real Jews these evil monsters deployed Zionists Surely these monsters have mothers they raise these animals destroy ppls livelihoods think,Brent,religion,2022-12-10 16:19:06+00:00,51.5639957,-0.27590641378489267
Women like just feel embarrassed your antics,Camden Town,sexism,2022-12-10 15:29:34+00:00,51.5423045,-0.1395604
Women have Spidey Senses their,Kingston upon Thames,sexism,2022-12-10 15:12:57+00:00,51.4096275,-0.3062621
will make crass touch comment about females,Islington,sexism,2022-12-10 14:46:57+00:00,51.5384287,-0.0999051
this context looks like right cunt watched full taking piss ignorance truth stop hating,London,sexism,2022-12-10 14:46:28+00:00,51.5073359,-0.12765
What bunch satanic weirdos Thank lord never visit such sorry bunch called human beings delusional empire,Brent,religion,2022-12-10 13:50:37+00:00,51.5639957,-0.27590641378489267
contrary began insults slurs moment were pressed argument woman should able want share changing room with that person because male proposals would make such statement impossible,Enfield,sexism,2022-12-10 13:42:08+00:00,51.6520851,-0.0810175
Sometimes hate being girl weird flirting with calling being indecisive about hair colour want TIYADDD,Camden Town,sexism,2022-12-10 12:44:34+00:00,51.5423045,-0.1395604
What midland banker both rude ignorant,Lewisham,disability,2022-12-10 12:23:17+00:00,51.4624292,-0.0101787
Women hands,Richmond,sexism,2022-12-10 11:54:48+00:00,51.4613531,-0.3032767
Women spoil Well some,Lambeth,sexism,2022-12-10 11:26:36+00:00,51.4952111,-0.1163354
This women irritates,Camden Town,sexism,2022-12-10 11:18:22+00:00,51.5423045,-0.1395604
brain dangerous fool,Barnet,disability,2022-12-10 09:28:34+00:00,51.65309,-0.2002261
allowed congress looks like retard most probably,Ealing,disability,2022-12-10 01:56:19+00:00,51.5126553,-0.3051952
think recoding audio here drag idiots will thing,Islington,disability,2022-12-10 00:15:32+00:00,51.5384287,-0.0999051
bitches,Lambeth,sexism,2022-12-09 22:41:49+00:00,51.4952111,-0.1163354
shoe doesn fuckin idiot,Bromley,disability,2022-12-09 22:06:48+00:00,51.4028046,0.0148142
Sorry support zionists,Kensington,religion,2022-12-09 21:57:35+00:00,51.4989948,-0.1991229
stupid stupid,Romford,disability,2022-12-09 21:28:32+00:00,51.5760462,0.1822646
Fuck minging cunt,Barnet,sexism,2022-12-09 21:16:47+00:00,51.65309,-0.2002261
thought running back Either absolutely stupid,Bromley,disability,2022-12-09 21:09:48+00:00,51.4028046,0.0148142
Otamendi such cunt,Romford,sexism,2022-12-09 21:08:08+00:00,51.5760462,0.1822646
mean deserves useless absolutely rubbish shouldn reffing school game,Barnet,disability,2022-12-09 20:52:38+00:00,51.65309,-0.2002261
favour unfollow pointless idiot,Wandsworth,disability,2022-12-09 19:51:31+00:00,51.4570271,-0.1932607
That what dancing around like twats,Wandsworth,sexism,2022-12-09 19:15:21+00:00,51.4570271,-0.1932607
have play team with woman said Boris firmly,Islington,sexism,2022-12-09 19:08:55+00:00,51.5384287,-0.0999051
Ever considered sleeping with your wife Wild know,Harrow,sexism,2022-12-09 17:42:42+00:00,51.596827149999996,-0.3373046180437286
deflection peasant,Camden Town,disability,2022-12-09 17:39:36+00:00,51.5423045,-0.1395604
Lord save from Gliberals most profoundly misguided people planet,Camberwell,religion,2022-12-09 17:24:33+00:00,51.4745706,-0.0925416
Cats always helpful,Harrow,sexism,2022-12-09 17:05:18+00:00,51.596827149999996,-0.3373046180437286
Australia women cricket team best team world gender sport right,Wandsworth,sexism,2022-12-09 17:02:35+00:00,51.4570271,-0.1932607
right that abomination screen sinking feeling Twat,Kingston upon Thames,sexism,2022-12-09 16:24:08+00:00,51.4096275,-0.3062621
fucking retard,Hackney,disability,2022-12-09 15:08:56+00:00,51.5432402,-0.0493621
getting what presume brasses robots last month getting bored them,London,disability,2022-12-09 13:31:19+00:00,51.5073359,-0.12765
cunt prronunce well some words Fort example espiderman,Poplar,sexism,2022-12-09 12:30:00+00:00,51.5110713,-0.0144629
just retard,Ealing,disability,2022-12-09 12:27:45+00:00,51.5126553,-0.3051952
lack melanin sending defo gentrified,Harrow,disability,2022-12-09 11:41:19+00:00,51.596827149999996,-0.3373046180437286
Yeah know long they keep goats captive cave cheese great,Bexley,racism,2022-12-09 11:21:00+00:00,51.4416793,0.150488
will give them sweets after supper being good children tell them naughty step being self cantered tone deaf immature,Hammersmith,disability,2022-12-09 11:08:35+00:00,51.4920377,-0.2236401
England obviously idiot,Romford,disability,2022-12-09 10:59:46+00:00,51.5760462,0.1822646
just dummy trebly clever explains only good play,Islington,disability,2022-12-09 10:20:04+00:00,51.5384287,-0.0999051
need better marketing twits,Islington,sexism,2022-12-09 09:30:32+00:00,51.5384287,-0.0999051
That reason women live longer,Islington,sexism,2022-12-09 09:01:19+00:00,51.5384287,-0.0999051
would better blind wouldn able read screen,Barnet,disability,2022-12-09 07:40:44+00:00,51.65309,-0.2002261
